code_nat,text_nat,code_plus,text_plus,country
BBHF4,Behandling med biskjoldbruskkirtelhormon,WVXX00,Other intervention for medication,den
BBHF51,Behandling med octreotid,WVXX00,Other intervention for medication,den
BBHF52,Behandling med lanreotid,WVXX00,Other intervention for medication,den
BBHG0,Behandling med kvindeligt kønshormon,WVXX00,Other intervention for medication,den
BBHG1,Behandling med mandligt kønshormon,WVXX00,Other intervention for medication,den
BBHG31A,Behandling med rekombinant samt højt oprenset follikelstimulerende hormon (FSH),WVXX00,Other intervention for medication,den
BBHG31B,"Behandling med hMG (humant menopause gonadotropin, blandingsprodukt af FSH og LH)",WVXX00,Other intervention for medication,den
BBHG32,Behandling med GnRH (gonadotropin releasing hormone) agonist,WVXX00,Other intervention for medication,den
BBHG33,Behandling med GnRH (gonadotropin releasing hormone) antagonist,WVXX00,Other intervention for medication,den
BBHG35A,hCG (humant chorion gonadotropin) behandling mhp. ovulationsinduktion,WVXX00,Other intervention for medication,den
BBHG36,Behandling mhp. lutealfase support (progesteron og østradiol),WVXX00,Other intervention for medication,den
BBHG381,Anden medikamentel behandling ved IVF,WVXX00,Other intervention for medication,den
BBHH1,Behandling med natriumphenylbutyrat,WVXX00,Other intervention for medication,den
BBHH2,Behandling med cargluminsyre,WVXX00,Other intervention for medication,den
BBHH3,Behandling med cysteamin,WVXX00,Other intervention for medication,den
BBHJ1,Behandling med betainhydroclorid,WVXX00,Other intervention for medication,den
BBHM0,Medikamentel behandling ved metabolisk knoglelidelse,WVXX00,Other intervention for medication,den
BBHY0,Medikamentel behandling af metabolisk knoglesygdom ikke klassificeret andetsteds,WVXX00,Other intervention for medication,den
BBKA,Oplæring i blodsukkermåling,WZZ999,Other minor procedure,den
BBKB,Oplæring i injektion af insulin,WZZ999,Other minor procedure,den
BBVA,Generel pleje ved lidelse i det endok system og metaboliske lidelser,BXXX99,Other minor procedure on endocrine organ,den
BBVB,Speciel pleje ved lidelse i det endok system og metaboliske lidelser,BXXX99,Other minor procedure on endocrine organ,den
BBXA0,Procedure med relation til det endokrine system ikke klassificeret andetsteds,BXXX99,Other minor procedure on endocrine organ,den
BBXWA,Behandling med cinacalcet,WVXX00,Other intervention for medication,den
BCDD02,Behandling med kontaktlinser,R5R110,"Assesment of aid need and choice, testing, adjustment and delivery of device with demonstration of use",den
BCDD03,Behandling med svagtsynsoptik,R5R110,"Assesment of aid need and choice, testing, adjustment and delivery of device with demonstration of use",den
BCDD9,Optisk behandling ikke klassificeret andetsteds,R5R110,"Assesment of aid need and choice, testing, adjustment and delivery of device with demonstration of use",den
