procprop,varval_text_comb,extens,nat_ver
09S06,Perianal procedure,False,est/swe/lat/ice/den/fin/nor
09S07,"Other skin, subcutaneous tissue or breast procedure",False,est/swe/lat/ice/den/fin/nor
09S08,"Other skin, subcutaneous tissue or breast procedure, not OR procedure",False,est/swe/lat/ice/den/fin/nor
09S20,Pilonidal sinus procedure,False,est/swe/lat/ice/den/fin/nor
10D01,"Diagnostic procedure of head, neck and central nervous system in MDC 10",False,fin
10D02,"Demanding diagnostic procedure of head, neck and central nervous system in MDC 10",False,fin
10D11,Diagnostic procedure of endocrine organs in MDC 10,False,fin
10D21,"Diagnostic procedure of heart, large vessels and other intrathoracic organs in MDC 10",False,fin
10D41,Diagnostic procedure of musculoskeletal system in MDC10,False,fin
10D62,Demanding diagnostic procedure of peripheral vascular system in MDC 10,False,fin
10S01,Amputation of lower limb,True,est/swe/lat/ice/den/fin/nor
10S02,Adrenal procedure,False,est/swe/lat/ice/den/fin/nor
10S04,OR procedure for obesity,False,est/swe/lat/ice/den/fin/nor
10S05,Parathyroid procedure,False,est/swe/lat/ice/den/fin/nor
10S06,Thyroid procedure,False,est/swe/lat/ice/den/fin/nor
10S08,"Other endocrine, nutritional or metabolic system OR procedure",False,est/swe/lat/ice/den/fin/nor
10S09,Pituitary procedure,True,est/swe/lat/ice/den/fin/nor
10S20,Gastrointestinal procedure for obesity,False,est/swe/lat/ice/den/fin/nor
11D21,"Diagnostic procedure of heart, large vessels and other intrathoracic organs in MDC 11",False,fin
11D31,"Diagnostic procedure of abdominal, retroperitoneal and pelvic organs in MDC 11",False,fin
11D32,"Demanding diagnostic procedure of abdominal, retroperitoneal and pelvic organs in MDC 11",False,fin
11D62,Demanding diagnostic procedure of peripheral vascular system in MDC 11,False,fin
11E16,Therapeutic endoscopy of urinary tract for urinary problem,False,est/swe/lat/ice/den/fin/nor
11E17,Diagnostic endoscopy of upper urinary tract for urinary problem,False,est/swe/lat/ice/den/fin/nor
11E18,Diagnostic endoscopy of lower urinary tract for urinary problems,False,est/swe/lat/ice/den/fin/nor
11S01,Kidney transplant,True,est/swe/lat/ice/den/fin/nor
11S02,"Kidney, ureter or major bladder procedure",True,est/swe/lat/ice/den/fin/nor
11S03,Minor bladder procedure,False,est/swe/lat/ice/den/fin/nor
11S05,Transurethral procedures (no prostatectomy),False,est/swe/lat/ice/den/fin/nor
11S06,Urethra procedures,False,est/swe/lat/ice/den/fin/nor
11S07,Other kidney or urinary tract OR procedure,False,est/swe/lat/ice/den/fin/nor
11S08,ESWL,False,est/swe/lat/ice/den/fin/nor
11S09,Dialysis,False,est/swe/lat/ice/den/fin/nor
11S10,Procedures for vesicointestinal fistula,False,est/swe/lat/ice/den/fin/nor
11S11,Artificial urethra sphincter procedures,False,est/swe/lat/ice/den/fin/nor
11S12,Insertion of hemodialysis catheters,False,est/lat/ice/den/fin
11S13,Construction or closure of arteriovenous fistula,False,est/swe/lat/ice/den/fin
11S14,Insertion of peritoneal dialysis catheter,False,est/swe/lat/ice/den/fin
11S15,Other kidney or urinary tract OR procedure,False,est/lat/ice/den/fin
11S20,"Transurethral incision of prostate, TIUP",False,fin
11S90,Blood vessel biopsy,False,est/swe/lat/ice/den/fin/nor
12D31,"Diagnostic procedure of abdominal, retroperitoneal and pelvic organs in MDC 12",False,fin
12D32,"Demanding diagnostic procedure of abdominal, retroperitoneal and pelvic organs in MDC 12",False,fin
12D61,Diagnostic procedure of peripheral vascular system in MDC 12,False,fin
12D62,Demanding diagnostic procedure of peripheral vascular system in MDC 12,False,fin
12E16,Therapeutic endoscopy of urinary tract for male genitourinary problem,False,est/swe/lat/ice/den/fin/nor
12E18,Endoscopy of male genital tract,False,est/swe/lat/ice/den/fin/nor
12S01,"Major pelvic procedure, male",True,est/swe/lat/ice/den/fin/nor
12S02,Penis procedure,False,est/swe/lat/ice/den/fin/nor
12S03,Testes procedure,False,est/swe/lat/ice/den/fin/nor
12S04,Transurethral prostatectomy,False,est/swe/lat/ice/den/fin/nor
12S05,Circumcisions,False,est/swe/lat/ice/den/fin/nor
12S07,Male sterilization,False,est/swe/lat/ice/den/fin/nor
12S08,Other male reproductive system OR procedure,False,est/swe/lat/ice/den/fin/nor
12V02,Intervention of male genital organs,False,swe/fin
13D31,"Diagnostic procedure of abdominal, retroperitoneal and pelvic organs in MDC 13",False,fin
13D61,Diagnostic procedure of peripheral vascular system in MDC 13,False,fin
13D62,Demanding diagnostic procedure of peripheral vascular system in MDC 13,False,fin
13E10,Colonoscopy for gynecological problems,False,est/swe/lat/ice/den/fin/nor
13E18,Endoscopy of lower urinary tract for genitourinary problems in females,False,est/swe/lat/ice/den/fin/nor
13E19,Endoscopy of female genital tract for gynecological problem,False,est/swe/lat/ice/den/fin/nor
